ISO3V10,Country_Territory_Island,CMR_latest,CMR_mean,CMR_std,CMR_trend,CMR_pct_change,WAT_latest,WAT_mean,WAT_std,WAT_trend,WAT_pct_change,SAN_latest,SAN_mean,SAN_std,SAN_trend,SAN_pct_change,CHI_v2023_latest,CHI_v2023_mean,CHI_v2023_std,CHI_v2023_trend,CHI_v2023_pct_change,NRPI_v2023_latest,NRPI_v2023_mean,NRPI_v2023_std,NRPI_v2023_trend,NRPI_v2023_pct_change,infra_gap,Homicide_per100k,WGI_GovEffect,WGI_RegQuality,WGI_Corruption,WGI_RuleLaw,WGI_PolStability,WGI_VoiceAccount,Cluster_DBSCAN
AFG,Afghanistan,12.82,17.766153846153845,4.191422865928185,-1.0612087912087909,-49.12698412698413,82.18,65.3623076923077,10.923754813742812,2.8046153846153876,68.29817734998977,55.95,45.744615384615386,6.6845027431423,1.7163736263736271,57.69447576099213,73.46,62.16769230769232,7.783656118052914,1.997252747252748,47.51004016064256,40.79,40.474999999999994,0.3637306695894657,0.251999999999995,1.5687250996016002,19.61769230769231,,,,,,,,0
ALB,Albania,1.05,1.1284615384615386,0.1296692043783047,-0.0273626373626373,-27.083333333333325,95.09,93.59615384615384,1.2982586957250242,0.3291758241758228,4.05996935872183,99.3,97.7953846153846,1.475333947420128,0.368186813186813,4.339602816013445,97.65,96.61,0.9781104232140674,0.2452747252747278,2.952029520295215,,,,,,-4.19923076923078,,,,,,,,1
DZA,Algeria,3.24,3.5938461538461537,0.2529340645813469,-0.0647252747252746,-19.40298507462685,94.66,93.58384615384615,0.8033734961765745,0.205769230769232,2.556879739978331,85.83,86.53461538461539,0.4920300699587274,-0.1230769230769226,-1.322143021384233,92.0,91.71307692307693,0.2287423811257483,0.0574725274725306,0.8329679964927721,26.97,26.545,0.4907477288111807,0.3399999999999936,3.2542113323123965,7.0492307692307605,,,,,,,,-1
AND,Andorra,0.11,0.1892307692307692,0.0765355623726141,-0.0188461538461538,-67.64705882352942,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,99.95,99.9123076923077,0.0356262651597213,0.0087362637362662,0.1101762820512815,,,,,,0.0,,,,,,,,1
AGO,Angola,23.36,32.31384615384615,8.019616094782362,-2.0032967032967015,-51.221549384005016,57.72,54.682307692307695,2.5228626394308313,0.6385714285714303,14.569273521238578,52.18,47.85384615384615,3.9235284682318334,0.983956043956045,27.08231855820749,59.18,52.59307692307693,5.841206189100821,1.465879120879124,41.918465227817734,28.52,28.4,0.1385640646055092,0.0959999999999951,0.8486562942008431,6.828461538461546,,,,,,,,0
AIA,Anguilla,0.13,0.1946153846153846,0.0581112990469416,-0.0144505494505494,-58.06451612903225,97.48,97.43384615384616,0.0967417922046846,0.0175824175824197,0.3087054949578073,96.7,96.48846153846156,0.442828901380022,0.0805494505494542,1.437113185775731,98.0,97.8853846153846,0.2031262080831914,0.0393406593406595,0.6573541495480696,,,,,,0.9453846153845972,,,,,,,,1
ATG,Antigua and Barbuda,0.99,1.2730769230769228,0.2508779456025252,-0.0629670329670329,-43.10344827586207,98.36,98.3676923076923,0.0043852900965373,-0.0008241758241759,-0.0101657009250839,97.4,97.38615384615386,0.0155662356498858,0.0036813186813211,0.0513610683102325,98.13,97.99615384615385,0.1208675901926329,0.0302747252747317,0.3682111077017485,,,,,,0.9815384615384346,,,,,,,,2
ARG,Argentina,0.77,1.1746153846153846,0.2749125735155143,-0.0702197802197802,-50.641025641025635,99.04,98.9153846153846,0.1936326153921128,0.0413186813186851,0.6197297571878486,94.82,94.16230769230766,0.8966340190415252,0.2047802197802186,2.7190986891994267,97.6,97.15153846153844,0.4734421146216672,0.1144505494505523,1.4658488408358423,,,,,,4.7530769230769465,,,,,,,,1
ARM,Armenia,1.19,1.523846153846154,0.2744551712495886,-0.0697252747252746,-40.79601990049751,99.97,99.37923076923076,0.6207047276880994,0.1500549450549494,1.8646831057672697,93.98,92.88615384615385,1.090669048959844,0.27,3.399713939927389,97.43,96.71769230769232,0.6956789710557829,0.1724175824175863,2.1171784928204698,,,,,,6.493076923076927,,,,,,,,1
AUS,Australia,0.56,0.6223076923076925,0.0698991948158019,-0.0166483516483516,-27.272727272727263,99.97,99.94615384615383,0.0361797506759558,0.0078021978021976,0.0901081297557102,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,99.73,99.6946153846154,0.0450213624507647,0.010329670329669,0.1305220883534233,,,,,,-0.0538461538461518,,,,,,,,2
