ISO3V10,Country_Territory_Island,CMR_latest,CMR_mean,CMR_std,CMR_trend,CMR_pct_change,WAT_latest,WAT_mean,WAT_std,WAT_trend,WAT_pct_change,SAN_latest,SAN_mean,SAN_std,SAN_trend,SAN_pct_change,CHI_v2023_latest,CHI_v2023_mean,CHI_v2023_std,CHI_v2023_trend,CHI_v2023_pct_change,NRPI_v2023_latest,NRPI_v2023_mean,NRPI_v2023_std,NRPI_v2023_trend,NRPI_v2023_pct_change,infra_gap
AFG,Afghanistan,12.82,17.766153846153845,4.191422865928185,-1.0612087912087909,-49.12698412698413,82.18,65.3623076923077,10.923754813742812,2.8046153846153876,68.29817734998977,55.95,45.744615384615386,6.6845027431423,1.7163736263736273,57.69447576099213,73.46,62.16769230769232,7.783656118052914,1.9972527472527482,47.51004016064256,40.79,40.474999999999994,0.3637306695894657,0.25199999999999506,1.5687250996016002,19.61769230769231
ALB,Albania,1.05,1.1284615384615386,0.1296692043783047,-0.027362637362637346,-27.083333333333325,95.09,93.59615384615383,1.2982586957250242,0.3291758241758228,4.05996935872183,99.3,97.7953846153846,1.475333947420128,0.36818681318681307,4.339602816013445,97.65,96.61,0.9781104232140674,0.24527472527472788,2.952029520295215,,,,,,-4.19923076923078
DZA,Algeria,3.24,3.5938461538461537,0.25293406458134693,-0.06472527472527465,-19.40298507462685,94.66,93.58384615384615,0.8033734961765745,0.20576923076923206,2.556879739978331,85.83,86.53461538461539,0.4920300699587274,-0.1230769230769226,-1.3221430213842327,92.0,91.71307692307693,0.22874238112574832,0.05747252747253065,0.8329679964927721,26.97,26.545,0.4907477288111807,0.33999999999999364,3.2542113323123965,7.0492307692307605
AND,Andorra,0.11,0.1892307692307692,0.07653556237261414,-0.018846153846153832,-67.64705882352942,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,99.95,99.9123076923077,0.03562626515972131,0.008736263736266294,0.1101762820512815,,,,,,0.0
AGO,Angola,23.36,32.31384615384615,8.019616094782362,-2.0032967032967015,-51.221549384005016,57.72,54.682307692307695,2.5228626394308313,0.6385714285714303,14.569273521238578,52.18,47.85384615384615,3.9235284682318334,0.983956043956045,27.08231855820749,59.18,52.59307692307693,5.841206189100821,1.465879120879124,41.918465227817734,28.52,28.4,0.13856406460550927,0.09599999999999514,0.8486562942008431,6.828461538461546
AIA,Anguilla,0.13,0.1946153846153846,0.058111299046941615,-0.014450549450549448,-58.06451612903225,97.48,97.43384615384616,0.09674179220468467,0.017582417582419744,0.3087054949578073,96.7,96.48846153846156,0.442828901380022,0.0805494505494542,1.437113185775731,98.0,97.88538461538461,0.20312620808319148,0.03934065934065952,0.6573541495480696,,,,,,0.9453846153845973
ATG,Antigua and Barbuda,0.99,1.2730769230769228,0.2508779456025252,-0.06296703296703295,-43.10344827586207,98.36,98.3676923076923,0.004385290096537389,-0.0008241758241759604,-0.010165700925083985,97.4,97.38615384615386,0.01556623564988588,0.0036813186813211473,0.05136106831023253,98.13,97.99615384615383,0.12086759019263292,0.03027472527473176,0.3682111077017485,,,,,,0.9815384615384346
ARG,Argentina,0.77,1.1746153846153846,0.27491257351551435,-0.0702197802197802,-50.641025641025635,99.04,98.91538461538461,0.1936326153921128,0.04131868131868517,0.6197297571878486,94.82,94.16230769230766,0.8966340190415252,0.20478021978021868,2.7190986891994267,97.6,97.15153846153845,0.4734421146216672,0.11445054945055237,1.4658488408358423,,,,,,4.7530769230769465
ARM,Armenia,1.19,1.523846153846154,0.2744551712495886,-0.06972527472527469,-40.79601990049751,99.97,99.37923076923077,0.6207047276880994,0.1500549450549494,1.8646831057672695,93.98,92.88615384615385,1.090669048959844,0.27,3.3997139399273886,97.43,96.71769230769232,0.6956789710557829,0.17241758241758637,2.1171784928204698,,,,,,6.493076923076927
AUS,Australia,0.56,0.6223076923076925,0.06989919481580197,-0.01664835164835164,-27.272727272727266,99.97,99.94615384615385,0.036179750675955885,0.007802197802197605,0.09010812975571027,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,99.73,99.6946153846154,0.04502136245076471,0.010329670329669064,0.13052208835342335,,,,,,-0.05384615384615188
AUT,Austria,0.67,0.6746153846153846,0.03573406045949824,-0.006428571428571419,-10.666666666666663,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,99.97,99.97538461538463,0.006602252917736005,-0.0014835164835167287,-0.020002000200016024,99.68,99.68000000000004,0.012909944487356405,0.002252747252750226,0.030105368790768826,,,,,,0.02461538461537316
AZE,Azerbaijan,2.01,3.055384615384615,0.9922165034626211,-0.2464835164835163,-59.55734406438632,97.64,92.67769230769233,3.7910643928544965,0.9624175824175835,13.521683525171484,96.13,93.67230769230771,3.919256208870406,0.8348901098901118,13.400967323345522,96.99,94.03846153846156,2.9610635649876613,0.7126373626373651,10.266030013642567,,,,,,-0.9946153846153862
BHS,Bahamas,1.77,2.406153846153846,1.7362437351052729,0.07274725274725281,-18.05555555555556,98.89,98.83923076923078,0.07707804902192068,0.016813186813190707,0.22296544035674354,94.93,94.49153846153851,0.7036434484624328,0.14934065934066393,2.2511848341232263,97.12,96.66538461538462,0.8111166725017157,0.021813186813183356,0.987834043880631,,,,,,4.34769230769227
